Id,Name,Year,Gender,State,Count
13298,Emma,2013,F,AK,57
13299,Sophia,2013,F,AK,50
13300,Abigail,2013,F,AK,39
13301,Isabella,2013,F,AK,38
13302,Olivia,2013,F,AK,35
13303,Charlotte,2013,F,AK,34
13304,Harper,2013,F,AK,34
13305,Emily,2013,F,AK,33
13306,Ava,2013,F,AK,31
13307,Avery,2013,F,AK,30
13308,Amelia,2013,F,AK,29
13309,Elizabeth,2013,F,AK,28
13310,Evelyn,2013,F,AK,28
13311,Aurora,2013,F,AK,27
13312,Addison,2013,F,AK,26
13313,Hannah,2013,F,AK,26
13314,Lily,2013,F,AK,25
13315,Aria,2013,F,AK,22
13316,Audrey,2013,F,AK,22
13317,Mia,2013,F,AK,22
13318,Aubrey,2013,F,AK,21
13319,Lillian,2013,F,AK,21
13320,Brooklyn,2013,F,AK,20
13321,Chloe,2013,F,AK,20
13322,Victoria,2013,F,AK,20
13323,Scarlett,2013,F,AK,19
13324,Hailey,2013,F,AK,18
13325,Jade,2013,F,AK,18
13326,Madison,2013,F,AK,18
13327,Natalie,2013,F,AK,18
13328,Alexis,2013,F,AK,17
13329,Gabriella,2013,F,AK,17
13330,Violet,2013,F,AK,17
13331,Allison,2013,F,AK,16
13332,Ella,2013,F,AK,16
13333,Piper,2013,F,AK,16
13334,Sofia,2013,F,AK,16
13335,Alice,2013,F,AK,15
13336,Autumn,2013,F,AK,15
13337,Jasmine,2013,F,AK,15
13338,Kaylee,2013,F,AK,15
13339,Savannah,2013,F,AK,15
13340,Zoey,2013,F,AK,15
13341,Anna,2013,F,AK,14
13342,Grace,2013,F,AK,14
13343,Mary,2013,F,AK,14
13344,Peyton,2013,F,AK,14
13345,Sophie,2013,F,AK,14
13346,Bailey,2013,F,AK,13
13347,Lydia,2013,F,AK,13
13348,Naomi,2013,F,AK,13
13349,Samantha,2013,F,AK,13
13350,Skylar,2013,F,AK,13
13351,Brooke,2013,F,AK,12
13352,Eleanor,2013,F,AK,12
13353,Kaitlyn,2013,F,AK,12
13354,Melody,2013,F,AK,12
13355,Nevaeh,2013,F,AK,12
13356,Penelope,2013,F,AK,12
13357,Sadie,2013,F,AK,12
13358,Serenity,2013,F,AK,12
13359,Stella,2013,F,AK,12
13360,Taylor,2013,F,AK,12
13361,Aaliyah,2013,F,AK,11
13362,Arianna,2013,F,AK,11
13363,Claire,2013,F,AK,11
13364,Ellie,2013,F,AK,11
13365,Kendall,2013,F,AK,11
13366,Mckenzie,2013,F,AK,11
13367,Molly,2013,F,AK,11
13368,Paige,2013,F,AK,11
13369,Quinn,2013,F,AK,11
13370,Trinity,2013,F,AK,11
13371,Adalyn,2013,F,AK,10
13372,Angel,2013,F,AK,10
13373,Annabelle,2013,F,AK,10
13374,Bella,2013,F,AK,10
